Idx,Date,Hist,Pred,Text
A._P._J._Abdul_Kalam,2015/09/09,"[12034, 14825, 13831, 12880, 13603, 12083, 9981, 11649, 13133, 13978, 14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824]","[57164, 54269, 47180, 48899, 54022, 51303, 46838, 36271, 37218, 37835, 33810, 37898]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/10,"[14825, 13831, 12880, 13603, 12083, 9981, 11649, 13133, 13978, 14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164]","[54269, 47180, 48899, 54022, 51303, 46838, 36271, 37218, 37835, 33810, 37898, 38728]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/11,"[13831, 12880, 13603, 12083, 9981, 11649, 13133, 13978, 14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269]","[47180, 48899, 54022, 51303, 46838, 36271, 37218, 37835, 33810, 37898, 38728, 38600]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/12,"[12880, 13603, 12083, 9981, 11649, 13133, 13978, 14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269, 47180]","[48899, 54022, 51303, 46838, 36271, 37218, 37835, 33810, 37898, 38728, 38600, 35718]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/13,"[13603, 12083, 9981, 11649, 13133, 13978, 14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269, 47180, 48899]","[54022, 51303, 46838, 36271, 37218, 37835, 33810, 37898, 38728, 38600, 35718, 31236]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/14,"[12083, 9981, 11649, 13133, 13978, 14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269, 47180, 48899, 54022]","[51303, 46838, 36271, 37218, 37835, 33810, 37898, 38728, 38600, 35718, 31236, 35894]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/15,"[9981, 11649, 13133, 13978, 14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269, 47180, 48899, 54022, 51303]","[46838, 36271, 37218, 37835, 33810, 37898, 38728, 38600, 35718, 31236, 35894, 37135]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/16,"[11649, 13133, 13978, 14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269, 47180, 48899, 54022, 51303, 46838]","[36271, 37218, 37835, 33810, 37898, 38728, 38600, 35718, 31236, 35894, 37135, 38047]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/17,"[13133, 13978, 14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269, 47180, 48899, 54022, 51303, 46838, 36271]","[37218, 37835, 33810, 37898, 38728, 38600, 35718, 31236, 35894, 37135, 38047, 38112]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/18,"[13978, 14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269, 47180, 48899, 54022, 51303, 46838, 36271, 37218]","[37835, 33810, 37898, 38728, 38600, 35718, 31236, 35894, 37135, 38047, 38112, 40219]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/19,"[14276, 77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269, 47180, 48899, 54022, 51303, 46838, 36271, 37218, 37835]","[33810, 37898, 38728, 38600, 35718, 31236, 35894, 37135, 38047, 38112, 40219, 40206]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/20,"[77042, 69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269, 47180, 48899, 54022, 51303, 46838, 36271, 37218, 37835, 33810]","[37898, 38728, 38600, 35718, 31236, 35894, 37135, 38047, 38112, 40219, 40206, 32561]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
A._P._J._Abdul_Kalam,2015/09/21,"[69162, 22797, 32588, 28565, 2181168, 2521752, 1173615, 979348, 535290, 380561, 350701, 279528, 256080, 230238, 219529, 211164, 384836, 232552, 183763, 171400, 171675, 157746, 113550, 99384, 121415, 106041, 112306, 102025, 93881, 81197, 81509, 97501, 84667, 78821, 71416, 62706, 52623, 53382, 74490, 70801, 63419, 69317, 62240, 48660, 50264, 61773, 58495, 58824, 57164, 54269, 47180, 48899, 54022, 51303, 46838, 36271, 37218, 37835, 33810, 37898]","[38728, 38600, 35718, 31236, 35894, 37135, 38047, 38112, 40219, 40206, 32561, 36756]","Avul Pakir Jainulabdeen Abdul Kalam BR was an Indian aerospace scientist and statesman who served as the 11th president of India from 2002 to 2007. Born and raised in a Muslim family in Rameswaram, Tamil Nadu, he studied physics and aerospace engineering. He spent the next four decades as a scientist and science administrator, mainly at the Defence Research and Development Organisation (DRDO) and Indian Space Research Organisation (ISRO) and was intimately involved in India's civilian space programme and military missile development efforts. He thus came to be known as the Missile Man of India for his work on the development of ballistic missile and launch vehicle technology. He also played a pivotal organisational, technical, and political role in India's Pokhran-II nuclear tests in 1998, the first since the original nuclear test by India in 1974."
